Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,uses
J9371,"Injection, vincristine sulfate liposome, 1 mg",Marqibo,Vincristine Sulfate Liposomal,Vincristine liposomal is used to treat a certain type of cancer called acute lymphoblastic leukemia. It is a cancer chemotherapy drug that works by slowing or stopping the growth of cancer cells.
J9390,"Injection, vinorelbine tartrate, 10 mg",Navelbine*,Vinorelbine Tartrate*,Vinorelbine is used to treat various types of cancer. It is a chemotherapy drug that works by slowing or stopping cancer cell growth.
J9395,"Injection, fulvestrant, 25 mg",Faslodex,Fulvestrant,"Fulvestrant is used to treat certain types of breast cancer. Breast cancer cells need the hormone estrogen in order to grow. Fulvestrant works by blocking the effect of estrogen, slowing tumor cell growth."
J9400,"Injection, ziv-aflibercept, 1 mg",Zaltrap,Ziv-Aflibercept,Ziv-aflibercept is used with other medications to treat cancer of the colon and rectum.
P9041,"Infusion, albumin (human), 5%, 50 ml","Infusion, Albumin (Human), 5%, 50 mL**", , 
P9045,"Infusion, albumin (human), 5%, 250 ml","Infusion, Albumin (Human), 5%, 250 mL**", , 
P9046,"Infusion, albumin (human), 25%, 20 ml","Infusion, Albumin (Human), 25%, 20 mL**", , 
P9047,"Infusion, albumin (human), 25%, 50 ml","Infusion, Albumin (Human), 25%, 50 mL**", , 
Q0138,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (non-esrd use)",Feraheme (Q0138),Ferumoxytol,"This medication is used to treat ""iron-poor"" blood (iron deficiency anemia). Ferumoxytol is a form of injectable iron that is used if you cannot take iron by mouth because of side effects or an unsuccessful response to treatment. It is also used by people who have anemia due to long-term kidney disease. Iron is an important part of your red blood cells and is needed to carry oxygen throughout the body. Many people with kidney disease cannot get enough iron from food and require injections. People with kidney disease may also need extra iron because of blood loss during kidney dialysis treatment."
Q0139,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (for esrd on dialysis)",Feraheme (Q0139),Ferumoxytol,"This medication is used to treat ""iron-poor"" blood (iron deficiency anemia). Ferumoxytol is a form of injectable iron that is used if you cannot take iron by mouth because of side effects or an unsuccessful response to treatment. It is also used by people who have anemia due to long-term kidney disease. Iron is an important part of your red blood cells and is needed to carry oxygen throughout the body. Many people with kidney disease cannot get enough iron from food and require injections. People with kidney disease may also need extra iron because of blood loss during kidney dialysis treatment."
Q0162,"Ondansetron 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Ondansetron HCL (Q0162)*,Ondansetron HCL*,This medication is used alone or with other medications to prevent nausea and vomiting caused by cancer drug treatment (chemotherapy) and radiation therapy. It is also used to prevent and treat nausea and vomiting after surgery. Ondansetron works by blocking one of the body's natural substances (serotonin) that causes vomiting.
Q0163,"Diphenhydramine hydrochloride, 50 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at time of chemotherapy treatment not to exceed a 48 hour dosage regimen",Diphenhydramine HCL (Q0163),Diphenhydramine HCL,"Diphenhydramine is an antihistamine used to relieve symptoms of allergy, hay fever, and the common cold. These symptoms include rash, itching, watery eyes, itchy eyes/nose/throat, cough, runny nose, and sneezing. It is also used to prevent and treat nausea, vomiting and dizziness caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep. This medication works by blocking a certain natural substance (histamine) that your body makes during an allergic reaction. Its drying effects on such symptoms as watery eyes and runny nose are caused by blocking another natural substance made by your body (acetylcholine). Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Therefore, do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely. These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
Q0164,"Prochlorperazine maleate, 5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Prochlorperazine Maleate,Prochlorperazine Maleate,"This medication is used to treat severe nausea and vomiting from certain causes (for example, after surgery or cancer treatment). Prochlorperazine belongs to a class of drugs known as phenothiazines. This medication is not recommended for use in children younger than 2 years or in children going through surgery."
Q0166,"Granisetron hydrochloride, 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 24 hour dosage regimen",Granisetron HCL (Q0166),Granisetron HCL,This medication is used to prevent nausea and vomiting due to cancer drug treatment (chemotherapy) and radiation therapy. It works by blocking one of the body's chemicals (serotonin) that causes vomiting.
Q0167,"Dronabinol, 2.5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Dronabinol*,Dronabinol*,Dronabinol is used to treat nausea and vomiting caused by cancer chemotherapy. It is usually used when other drugs to control nausea and vomiting have not been successful. Dronabinol is also used to treat loss of appetite and weight loss in patients with HIV infection. Dronabinol (also called THC) is a man-made form of the active natural substance in marijuana.
Q2035,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (afluria)","Influenza Virus Vaccine (Afluria), Age 3+ Years**", , 
Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)","Influenza Virus Vaccine(Fluvirin), Age 3+ Years**", , 
Q2043,"Sipuleucel-t, minimum of 50 million autologous cd54+ cells activated with pap-gm-csf, including leukapheresis and all other preparatory procedures, per infusion",Provenge,Sipuleucel-T/Lactated Ringers,"This medication is used to treat advanced prostate cancer. Sipuleucel-T is a type of vaccine created from your own immune system cells that works by causing your immune system to attack prostate cancer cells. This requires that you have a procedure to remove some of your white blood cells, which are used to prepare sipuleucel-T. Talk to your doctor about the risks and benefits of this treatment."
Q2050,"Injection, doxorubicin hydrochloride, liposomal, not otherwise specified, 10 mg",Doxil*,Doxorubicin HCL Peg-Liposomal*,"Liposomal doxorubicin is an anthracycline-type chemotherapy drug that is used alone or with other treatments/medications to treat certain types of cancer (e.g., ovarian cancer, AIDS-related Kaposi's sarcoma, multiple myeloma). It works by slowing or stopping cancer cell growth."
Q3027,"Injection, interferon beta-1a, 1 mcg for intramuscular use",Avonex*,Interferon Beta-1a*,"This medication is used to treat multiple sclerosis (MS). Interferon is not a cure for MS, but it may help to slow disease worsening and decrease flare-ups of symptoms (such as balance problems, numbness, or weakness)."
Q4074,"Iloprost, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 20 micrograms",Ventavis,Iloprost Tromethamine,This medication is used to treat a type of high blood pressure in the lungs (pulmonary arterial hypertension). Iloprost helps to increase your ability to exercise and improves symptoms such as shortness of breath and tiredness. It works by relaxing and widening the blood vessels (arteries) in the lungs and other parts of the body so that blood can flow more easily. This medication belongs to a class of drugs known as vasodilators.
